data\testelinhadebase.edf	Taxa de amostragem	200
data\testelinhadebase.edf	Record	2015-11-30T10:36:12Z
data\testelinhadebase.edf	   	2015-11-30T10:36:12Z
data\testelinhadebase.edf	   	2015-11-30T10:36:12Z
data\testelinhadebase.edf	 BACKGROUND TEST  	2015-11-30T10:36:12Z
data\testelinhadebase.edf	 Linha de base  	2015-11-30T10:36:27Z
data\testelinhadebase.edf	   	2015-11-30T10:36:28Z
data\testelinhadebase.edf	 Linha de base  	2015-11-30T10:36:28Z
data\testelinhadebase.edf	 Linha de base  	2015-11-30T10:36:28Z
data\testelinhadebase.edf	 Linha de ba 	2015-11-30T10:36:28Z
data\testelinhadebase.edf	 Linha de base  	2015-11-30T10:36:39Z
data\testelinhadebase.edf	 Marcador de evento  	2015-11-30T10:36:42Z
data\testelinhadebase.edf	 Linha de base  	2015-11-30T10:36:48Z
data\testelinhadebase.edf	 Linha de base  	2015-11-30T10:36:48Z
data\testelinhadebase.edf	 Linha de base  	2015-11-30T10:36:49Z
