sst-1-1.txt	sst-2-1.txt	sst-3-1.txt	sst-4-1.txt	
163.197	115.864	193.933	64.118	
165.687	118.905	196.590	66.725	
168.060	121.946	199.013	69.148	
170.549	124.687	201.369	71.638	
173.089	127.528	203.875	74.178	
175.663	130.268	206.315	76.768	
178.153	133.310	208.671	79.409	
181.194	136.067	211.111	81.882	
183.868	138.824	213.568	84.405	
186.475	141.865	215.974	86.978	
188.898	144.756	218.347	89.518	
191.388	147.798	220.887	92.075	
193.844	150.839	223.928	94.699	
196.267	153.513	226.685	97.255	
198.673	156.554	229.276	99.979	
201.715	159.161	232.150	102.620	
204.071	161.868	235.191	105.360	
206.461	164.642	238.015	108.084	
208.783	167.683	240.940	110.691	
211.223	170.257	243.981	113.465	
213.746	172.931	246.905	116.055	
216.253	175.972	249.913	119.096	
218.860	179.013	252.955	122.138	
221.316	181.486	255.378	124.661	
223.907	183.993	258.419	127.519	
226.430	186.750	261.310	130.393	
228.903	189.725	264.067	133.133	
231.476	192.348	267.109	135.907	
234.100	194.922	269.598	138.949	
236.590	197.445	272.038	141.522	
239.063	200.486	274.729	144.563	
241.553	203.327	277.319	147.103	
243.909	206.369	280.009	149.911	
246.382	208.892	282.516	152.852	
249.457	211.516	284.989	155.810	
251.813	214.557	287.629	158.818	
254.855	217.164	290.136	161.859	
257.261	219.904	292.642	164.900	
259.885	222.946	295.684	167.557	
262.391	225.552	298.324	169.997	
264.831	228.594	301.332	172.353	
267.438	231.234	303.788	175.261	
270.011	233.841	306.262	178.118	
272.618	236.882	308.685	181.160	
275.208	239.439	311.375	183.934	
277.732	242.129	313.781	186.758	
280.305	245.171	316.321	189.281	
282.912	247.711	318.728	191.988	
285.953	250.752	321.151	194.862	
288.426	253.259	323.474	197.804	
290.883	256.300	325.947	200.778	
293.423	258.773	328.420	203.385	
295.896	261.815	331.144	206.309	
298.503	264.472	333.968	209.351	
301.210	267.513	337.009	212.392	
303.767	270.554	339.566	215.366	
306.206	273.028	342.139	218.291	
308.730	275.969	345.181	221.065	
311.153	279.010	347.721	224.106	
313.726	281.684	350.194	227.147	
316.216	284.725	353.135	229.888	
318.890	287.566	355.708	232.578	
321.313	290.239	358.215	235.469	
323.920	293.247	360.705	238.394	
326.426	295.904	363.161	241.335	
328.933	298.461	365.902	244.159	
331.523	301.101	368.943	246.799	
333.963	304.143	371.500	249.774	
336.553	306.716	374.291	252.481	
339.210	309.590	377.031	255.288	
342.301	312.632	380.056	258.146	
344.925	315.673	382.613	261.187	
347.966	318.163	385.270	263.978	
350.573	321.204	387.843	267.019	
353.163	323.778	390.767	269.843	
355.670	326.819	393.809	272.734	
358.093	329.860	396.800	275.374	
361.168	332.852	399.323	278.366	
363.725	335.408	401.947	281.374	
366.248	338.049	404.671	284.415	
368.788	340.572	407.344	287.456	
371.495	343.079	410.169	289.980	
374.536	346.120	413.210	292.352	
377.010	348.660	415.800	295.026	
379.616	351.250	418.841	297.800	
382.223	353.874	421.482	300.658	
384.747	356.915	424.172	303.699	
387.353	359.722	427.080	306.740	
390.244	362.446	429.636	309.548	
393.286	365.103	432.176	312.589	
395.876	367.777	434.683	315.196	
398.433	370.618	437.724	317.987	
400.973	373.509	440.398	320.777	
403.780	376.550	443.072	323.184	
406.253	378.956	445.662	325.874	
408.827	381.613	448.235	328.381	
411.350	384.421	450.859	331.004	
413.823	386.961	453.716	333.561	
416.380	389.668	456.557	336.201	
418.870	392.191	459.599	339.025	
421.493	395.149	462.473	341.716	
424.050	397.773	464.929	344.757	
427.091	400.814	467.687	347.798	
429.732	403.521	470.160	350.255	
432.188	406.562	472.833	352.678	
434.711	409.386	475.541	355.719	
437.251	412.211	478.248	358.594	
439.842	414.834	481.289	361.635	
442.883	417.608	483.913	364.024	
445.924	420.566	486.570	366.732	
448.514	423.240	489.160	369.773	
451.021	425.947	492.201	372.213	
453.511	428.570	494.658	374.803	
455.967	431.612	497.281	377.443	
458.357	434.135	499.687	380.184	
460.930	436.742	502.512	382.724	
463.404	439.365	504.834	385.264	
466.061	441.905	507.508	387.887	
468.567	444.345	509.898	390.260	
471.224	446.935	512.371	392.850	
474.266	449.459	514.727	395.608	
476.772	452.450	517.768	398.649	
479.429	455.090	520.425	401.323	
482.036	457.647	523.467	404.063	
484.810	460.170	526.191	406.637	
487.534	463.128	528.981	409.244	
490.425	465.668	531.521	412.285	
492.982	468.709	533.978	414.858	
