C:\Users\LAB\Documents\My Experiments\raven\raven-25-32.edat2
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	BlockList	BlockList.Cycle	BlockList.Sample	Procedure[Block]	Running[Block]	Trial	Correct	Image	Image.ACC	Image.CRESP	Image.RESP	Image.RT	Image.RTTime	Procedure[Trial]	Running[Trial]	TrialList	TrialList.Cycle	TrialList.Sample
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	1	4	img\sA-1.png	0	4	1	1897	18299	TrialProc	TrialList	1	1	1
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	2	5	img\sA-2.png	0	5	2	126	18462	TrialProc	TrialList	2	1	2
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	3	1	img\sA-3.png	0	1	3	139	18625	TrialProc	TrialList	3	1	3
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	4	2	img\sA-4.png	0	2	4	199	18851	TrialProc	TrialList	4	1	4
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	5	6	img\sA-5.png	0	6	5	125	19011	TrialProc	TrialList	5	1	5
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	6	3	img\sA-6.png	0	3	6	125	19177	TrialProc	TrialList	6	1	6
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	7	6	img\sA-7.png	0	6	1	157	19376	TrialProc	TrialList	7	1	7
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	8	2	img\sA-8.png	1	2	2	156	19558	TrialProc	TrialList	8	1	8
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	9	1	img\sA-9.png	0	1	3	126	19712	TrialProc	TrialList	9	1	9
raven	25	32	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2473994</Frequency><Timestamp dt:dt="r8">8471820042</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2015-10-22T13:14:57Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	raven-25-32	59.999	1.0.0.33	1	-117636748	Standard	2.0.10.353	2.0.10.353	10-22-2015	22/10/2015 13:14:57	11:14:57	2.0.10.248	1	1	1	1	BlockProc	BlockList	10	3	img\sA-10.png	0	3	4	319	20071	TrialProc	TrialList	10	1	10
